I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.021,0.309,0.331,-0.144,-0.176,0.32,-0.01,-0.291,-0.158,-0.05,0.258,-1.791
-0.006,0.314,0.32,-0.154,-0.164,0.317,-0.002,-0.293,-0.154,-0.05,0.252,-1.679
-0.026,0.331,0.357,-0.153,-0.192,0.344,0.004,-0.295,-0.153,-0.045,0.264,-1.631
-0.033,0.342,0.375,-0.155,-0.204,0.358,0.001,-0.305,-0.173,-0.057,0.285,-1.602
-0.046,0.354,0.401,-0.154,-0.224,0.377,-0.005,-0.32,-0.192,-0.072,0.289,-1.562
-0.06,0.373,0.433,-0.157,-0.247,0.403,-0.011,-0.334,-0.192,-0.069,0.289,-1.542
-0.059,0.384,0.443,-0.163,-0.252,0.414,-0.016,-0.357,-0.21,-0.075,0.31,-1.544
-0.066,0.399,0.465,-0.167,-0.266,0.432,-0.023,-0.385,-0.232,-0.075,0.341,-1.543
-0.068,0.393,0.461,-0.163,-0.265,0.427,-0.051,-0.428,-0.272,-0.078,0.34,-1.549
-0.049,0.381,0.43,-0.167,-0.24,0.406,-0.063,-0.46,-0.306,-0.1,0.331,-1.548
-0.032,0.357,0.389,-0.163,-0.21,0.373,-0.065,-0.461,-0.316,-0.111,0.306,-1.555
-0.011,0.314,0.325,-0.152,-0.168,0.319,-0.079,-0.448,-0.3,-0.104,0.255,-1.613
0.021,0.271,0.25,-0.146,-0.115,0.26,-0.064,-0.432,-0.256,-0.1,0.215,-1.684
0.04,0.232,0.192,-0.136,-0.076,0.212,-0.036,-0.382,-0.207,-0.096,0.178,-1.739
0.042,0.204,0.162,-0.123,-0.061,0.183,-0.018,-0.314,-0.16,-0.091,0.152,-1.785
0.037,0.181,0.145,-0.109,-0.054,0.163,-0.001,-0.268,-0.12,-0.088,0.142,-1.831
0.037,0.165,0.128,-0.101,-0.046,0.146,0.011,-0.244,-0.092,-0.084,0.137,-1.845
0.032,0.151,0.12,-0.092,-0.044,0.135,0.036,-0.229,-0.074,-0.082,0.133,-1.881
0.026,0.141,0.115,-0.084,-0.045,0.127,0.056,-0.199,-0.066,-0.079,0.126,-1.897
0.029,0.14,0.11,-0.085,-0.04,0.125,0.054,-0.184,-0.061,-0.076,0.122,-1.898
0.033,0.14,0.106,-0.087,-0.037,0.123,0.057,-0.186,-0.056,-0.074,0.118,-1.936
0.034,0.135,0.101,-0.085,-0.034,0.118,0.06,-0.184,-0.05,-0.071,0.124,-1.95
0.038,0.135,0.097,-0.087,-0.03,0.116,0.06,-0.186,-0.045,-0.07,0.13,-1.972
0.054,0.134,0.08,-0.094,-0.013,0.107,0.06,-0.183,-0.046,-0.07,0.125,-1.75
0.058,0.129,0.07,-0.094,-0.006,0.099,0.06,-0.194,-0.043,-0.071,0.12,-1.407
0.08,0.124,0.044,-0.102,0.018,0.084,0.059,-0.206,-0.054,-0.068,0.116,-1.274
0.078,0.119,0.042,-0.099,0.018,0.08,0.061,-0.204,-0.066,-0.079,0.111,-1.176
0.033,0.115,0.081,-0.075,-0.024,0.098,0.07,-0.208,-0.064,-0.091,0.108,-1.105
0.064,0.11,0.047,-0.087,0.008,0.078,0.069,-0.21,-0.065,-0.09,0.102,-1.068
0.073,0.106,0.034,-0.09,0.019,0.07,0.066,-0.21,-0.065,-0.09,0.097,-0.987
0.031,0.104,0.074,-0.068,-0.022,0.089,0.063,-0.206,-0.065,-0.09,0.093,-0.894
0.031,0.105,0.074,-0.068,-0.022,0.09,0.06,-0.205,-0.062,-0.09,0.089,-0.837
0.029,0.105,0.076,-0.067,-0.024,0.09,0.06,-0.205,-0.057,-0.087,0.084,-0.802
0.032,0.105,0.074,-0.069,-0.022,0.09,0.07,-0.205,-0.054,-0.084,0.08,-0.771
0.027,0.104,0.077,-0.066,-0.025,0.09,0.085,-0.204,-0.051,-0.081,0.08,-0.755
0.028,0.1,0.071,-0.064,-0.022,0.085,0.085,-0.206,-0.046,-0.078,0.08,-0.743
0.035,0.1,0.065,-0.068,-0.015,0.082,0.085,-0.222,-0.046,-0.075,0.08,-0.729
0.01,0.097,0.087,-0.054,-0.039,0.092,0.085,-0.226,-0.05,-0.074,0.079,-0.702
0.008,0.095,0.087,-0.052,-0.04,0.09,0.085,-0.22,-0.049,-0.083,0.083,-0.688
0.016,0.095,0.079,-0.056,-0.032,0.086,0.085,-0.219,-0.049,-0.085,0.09,-0.684
0.016,0.092,0.075,-0.054,-0.03,0.083,0.085,-0.215,-0.05,-0.081,0.093,-0.679
0.021,0.089,0.068,-0.055,-0.023,0.078,0.085,-0.214,-0.05,-0.079,0.098,-0.675
0.025,0.091,0.066,-0.058,-0.02,0.078,0.08,-0.223,-0.047,-0.076,0.099,-0.67
0.018,0.089,0.072,-0.053,-0.027,0.08,0.08,-0.225,-0.044,-0.074,0.105,-0.671
0.023,0.09,0.068,-0.057,-0.022,0.079,0.079,-0.225,-0.046,-0.071,0.103,-0.675
0.016,0.089,0.073,-0.052,-0.029,0.081,0.081,-0.225,-0.044,-0.066,0.117,-0.677
0.017,0.084,0.066,-0.05,-0.025,0.075,0.079,-0.224,-0.045,-0.063,0.125,-0.679
0.04,0.1,0.06,-0.071,-0.01,0.079,0.083,-0.227,-0.044,-0.061,0.127,-0.695
0.013,0.097,0.084,-0.055,-0.035,0.09,0.086,-0.22,-0.038,-0.054,0.153,-0.716
0.003,0.095,0.092,-0.049,-0.045,0.093,0.083,-0.22,-0.036,-0.055,0.155,-0.734
0.008,0.091,0.083,-0.05,-0.037,0.086,0.098,-0.206,-0.027,-0.043,0.156,-0.761
0.006,0.085,0.079,-0.045,-0.037,0.081,0.098,-0.212,-0.029,-0.045,0.153,-0.78
0.007,0.089,0.082,-0.048,-0.038,0.085,0.12,-0.192,-0.017,-0.031,0.157,-0.793
0.022,0.084,0.062,-0.053,-0.02,0.072,0.13,-0.202,-0.008,-0.034,0.151,-0.822
0.019,0.125,0.106,-0.073,-0.044,0.115,0.132,-0.169,0.055,0.007,0.165,-0.833
0.006,0.135,0.129,-0.071,-0.062,0.132,0.105,-0.146,0.064,0.13,0.23,-0.827
0.037,0.151,0.114,-0.094,-0.039,0.132,-0.014,-0.533,-0.302,-0.246,0.258,-0.824
0.151,0.137,-0.014,-0.144,0.082,0.061,-0.185,-1.135,-1.002,-1.236,0.121,-0.738
0.2,0.182,-0.019,-0.191,0.109,0.081,-0.372,-1.731,-1.555,-1.942,-0.215,-0.676
0.222,0.17,-0.052,-0.196,0.136,0.059,-0.433,-1.904,-1.539,-1.743,-0.322,-0.652
0.363,-0.091,-0.454,-0.136,0.409,-0.272,-0.414,-1.373,-1.144,-1.153,-0.237,-0.652
0.236,-0.115,-0.352,-0.06,0.294,-0.233,-0.24,-0.676,-0.556,-0.581,-0.138,-0.886
0.03,0.008,-0.023,-0.019,0.026,-0.007,0.017,-0.295,-0.112,-0.123,0.109,-1.06
0.018,0.049,0.03,-0.034,-0.006,0.039,0.065,-0.209,-0.018,-0.004,0.202,-1.067
-0.009,0.072,0.081,-0.032,-0.046,0.076,0.094,-0.175,0.034,0.02,0.193,-1.109
-0.017,0.061,0.077,-0.022,-0.047,0.069,0.129,-0.166,0.059,0.055,0.225,-1.138
-0.012,0.067,0.079,-0.028,-0.046,0.072,0.125,-0.164,0.061,0.06,0.223,-1.177
-0.034,0.058,0.092,-0.012,-0.063,0.075,0.155,-0.157,0.068,0.077,0.227,-1.202
-0.041,0.06,0.101,-0.01,-0.071,0.081,0.159,-0.155,0.071,0.08,0.22,-1.223
-0.037,0.06,0.097,-0.012,-0.067,0.078,0.166,-0.148,0.077,0.081,0.22,-1.235
-0.034,0.059,0.093,-0.013,-0.063,0.075,0.169,-0.146,0.074,0.08,0.22,-1.233
-0.022,0.07,0.092,-0.024,-0.057,0.081,0.159,-0.139,0.076,0.08,0.214,-1.244
-0.021,0.068,0.089,-0.023,-0.055,0.078,0.155,-0.136,0.074,0.08,0.209,-1.253
-0.033,0.062,0.095,-0.015,-0.064,0.079,0.147,-0.131,0.075,0.083,0.203,-1.269
-0.05,0.058,0.109,-0.004,-0.08,0.083,0.142,-0.126,0.076,0.086,0.198,-1.294
-0.054,0.054,0.108,0.0,-0.081,0.08,0.142,-0.122,0.081,0.084,0.192,-1.319
-0.054,0.049,0.103,0.002,-0.079,0.076,0.148,-0.109,0.084,0.086,0.187,-1.336
-0.052,0.045,0.097,0.003,-0.075,0.071,0.151,-0.098,0.093,0.084,0.184,-1.36
-0.056,0.04,0.096,0.008,-0.076,0.067,0.159,-0.076,0.113,0.091,0.182,-1.379
-0.053,0.035,0.088,0.009,-0.071,0.061,0.188,-0.053,0.134,0.105,0.179,-1.401
-0.058,0.031,0.09,0.013,-0.074,0.06,0.212,-0.048,0.163,0.11,0.176,-1.433
-0.096,0.026,0.122,0.035,-0.109,0.074,0.217,-0.045,0.178,0.111,0.174,-1.459
-0.088,0.027,0.115,0.03,-0.102,0.071,0.231,-0.042,0.192,0.125,0.175,-1.49
-0.079,0.031,0.109,0.024,-0.094,0.07,0.248,-0.036,0.199,0.139,0.175,-1.507
-0.062,0.03,0.092,0.016,-0.077,0.06,0.246,-0.036,0.192,0.125,0.175,-1.51
-0.071,0.037,0.108,0.017,-0.09,0.072,0.241,-0.056,0.171,0.112,0.199,-1.515
-0.062,0.048,0.11,0.007,-0.086,0.079,0.21,-0.115,0.119,0.093,0.217,-1.513
-0.016,0.055,0.071,-0.02,-0.044,0.063,0.167,-0.168,0.074,0.063,0.214,-1.514
-0.02,0.062,0.082,-0.021,-0.051,0.072,0.152,-0.19,0.039,0.05,0.215,-1.515
-0.005,0.06,0.065,-0.028,-0.035,0.062,0.138,-0.212,0.012,0.044,0.215,-1.511
-0.002,0.053,0.055,-0.026,-0.029,0.054,0.129,-0.227,0.002,0.037,0.214,-1.542
-0.007,0.049,0.056,-0.021,-0.031,0.052,0.125,-0.231,-0.003,0.029,0.218,-1.584
-0.029,0.043,0.072,-0.007,-0.051,0.057,0.12,-0.23,-0.007,0.022,0.22,-1.61
-0.048,0.037,0.085,0.005,-0.066,0.061,0.117,-0.23,-0.014,0.02,0.22,-1.66
-0.021,0.037,0.058,-0.008,-0.04,0.047,0.11,-0.229,-0.019,0.02,0.22,-1.708
-0.013,0.042,0.055,-0.015,-0.034,0.049,0.112,-0.237,-0.017,0.02,0.22,-1.746
-0.032,0.044,0.076,-0.006,-0.054,0.06,0.117,-0.246,-0.012,0.02,0.22,-1.789
-0.038,0.041,0.079,-0.002,-0.058,0.06,0.12,-0.244,-0.01,0.02,0.22,-1.829
-0.032,0.038,0.07,-0.003,-0.051,0.053,0.125,-0.245,-0.006,0.021,0.22,-1.867
-0.033,0.036,0.069,-0.002,-0.051,0.052,0.125,-0.245,-0.002,0.028,0.219,-1.906
-0.03,0.032,0.062,-0.001,-0.046,0.047,0.125,-0.245,0.001,0.034,0.221,-1.951
-0.03,0.03,0.06,0.0,-0.045,0.045,0.127,-0.241,0.007,0.037,0.219,-1.997
-0.03,0.03,0.06,0.0,-0.045,0.045,0.137,-0.235,0.013,0.041,0.223,-2.021
-0.029,0.031,0.06,-0.001,-0.045,0.045,0.152,-0.23,0.017,0.058,0.225,-2.049
-0.017,0.043,0.06,-0.013,-0.039,0.051,0.15,-0.224,0.024,0.072,0.225,-2.081
-0.014,0.045,0.06,-0.015,-0.037,0.052,0.141,-0.218,0.029,0.074,0.245,-2.099
-0.022,0.039,0.061,-0.008,-0.041,0.05,0.136,-0.216,0.03,0.072,0.25,-2.102
-0.017,0.038,0.055,-0.011,-0.037,0.046,0.126,-0.22,0.03,0.069,0.258,-2.085
-0.014,0.032,0.045,-0.009,-0.03,0.038,0.122,-0.22,0.03,0.07,0.272,-2.097
-0.007,0.03,0.037,-0.012,-0.022,0.033,0.123,-0.222,0.03,0.07,0.269,-2.141
-0.039,0.035,0.074,0.002,-0.057,0.054,0.128,-0.226,0.03,0.07,0.27,-2.178
-0.048,0.033,0.081,0.007,-0.065,0.057,0.136,-0.224,0.031,0.071,0.27,-2.217
-0.012,0.042,0.055,-0.015,-0.034,0.048,0.134,-0.222,0.035,0.075,0.269,-2.263
-0.04,0.048,0.088,-0.004,-0.065,0.068,0.136,-0.219,0.035,0.075,0.278,-2.288
-0.031,0.042,0.074,-0.006,-0.053,0.058,0.133,-0.216,0.035,0.077,0.293,-2.302
-0.045,0.031,0.076,0.007,-0.061,0.053,0.141,-0.213,0.035,0.081,0.283,-2.333
-0.088,0.04,0.128,0.024,-0.108,0.083,0.16,-0.21,0.035,0.08,0.295,-2.341
-0.052,0.072,0.124,-0.011,-0.088,0.098,0.16,-0.208,0.038,0.084,0.321,-2.343
-0.049,0.076,0.125,-0.014,-0.088,0.101,0.163,-0.204,0.041,0.085,0.321,-2.354
-0.059,0.074,0.132,-0.008,-0.096,0.103,0.165,-0.198,0.044,0.084,0.325,-2.367
-0.05,0.076,0.126,-0.013,-0.088,0.1,0.167,-0.194,0.047,0.087,0.326,-2.385
-0.059,0.086,0.145,-0.014,-0.102,0.115,0.168,-0.19,0.05,0.09,0.341,-2.395
-0.074,0.092,0.166,-0.009,-0.12,0.129,0.164,-0.185,0.05,0.093,0.356,-2.42
-0.075,0.085,0.16,-0.005,-0.118,0.122,0.162,-0.19,0.05,0.095,0.354,-2.452
-0.07,0.085,0.155,-0.008,-0.113,0.12,0.159,-0.196,0.05,0.098,0.355,-2.476
-0.072,0.08,0.152,-0.004,-0.112,0.116,0.155,-0.194,0.05,0.1,0.354,-2.49
-0.065,0.08,0.146,-0.008,-0.106,0.113,0.155,-0.197,0.05,0.1,0.355,-2.52
-0.058,0.085,0.143,-0.014,-0.101,0.113,0.159,-0.2,0.058,0.1,0.352,-2.555
-0.051,0.085,0.136,-0.017,-0.094,0.11,0.16,-0.2,0.061,0.1,0.349,-2.58
-0.04,0.089,0.128,-0.025,-0.084,0.109,0.159,-0.197,0.059,0.1,0.35,-2.599
-0.053,0.09,0.143,-0.018,-0.098,0.116,0.161,-0.192,0.06,0.1,0.35,-2.609
-0.065,0.092,0.157,-0.014,-0.111,0.124,0.159,-0.189,0.06,0.1,0.35,-2.631
-0.051,0.096,0.147,-0.022,-0.1,0.121,0.163,-0.186,0.06,0.1,0.35,-2.647
-0.051,0.095,0.145,-0.022,-0.098,0.12,0.165,-0.181,0.066,0.1,0.35,-2.667
-0.045,0.095,0.14,-0.025,-0.093,0.117,0.164,-0.181,0.068,0.1,0.35,-2.697
-0.04,0.095,0.134,-0.028,-0.088,0.115,0.176,-0.185,0.062,0.096,0.35,-2.719
-0.041,0.095,0.136,-0.027,-0.089,0.116,0.181,-0.187,0.057,0.095,0.35,-2.727
-0.038,0.095,0.133,-0.029,-0.086,0.114,0.179,-0.191,0.053,0.095,0.35,-2.728
-0.058,0.095,0.153,-0.018,-0.106,0.124,0.18,-0.193,0.049,0.095,0.348,-2.745
-0.063,0.095,0.158,-0.016,-0.111,0.126,0.18,-0.197,0.043,0.095,0.342,-2.77
-0.074,0.095,0.168,-0.011,-0.122,0.131,0.18,-0.204,0.056,0.094,0.337,-2.798
-0.104,0.095,0.199,0.004,-0.152,0.147,0.174,-0.206,0.067,0.089,0.334,-2.84
-0.099,0.093,0.192,0.003,-0.145,0.142,0.168,-0.204,0.06,0.084,0.328,-2.863
-0.101,0.089,0.189,0.006,-0.145,0.139,0.164,-0.201,0.058,0.08,0.325,-2.885
-0.096,0.091,0.187,0.002,-0.142,0.139,0.158,-0.199,0.053,0.075,0.325,-2.928
-0.096,0.088,0.183,0.004,-0.14,0.135,0.152,-0.202,0.05,0.07,0.325,-2.958
-0.085,0.098,0.183,-0.007,-0.134,0.14,0.152,-0.205,0.05,0.066,0.325,-2.969
-0.057,0.116,0.173,-0.03,-0.115,0.144,0.155,-0.205,0.05,0.065,0.325,-2.984
-0.062,0.11,0.172,-0.024,-0.117,0.141,0.155,-0.205,0.05,0.065,0.325,-3.006
-0.058,0.105,0.163,-0.024,-0.111,0.134,0.158,-0.205,0.05,0.065,0.322,-3.008
-0.057,0.102,0.159,-0.022,-0.109,0.13,0.161,-0.205,0.05,0.065,0.316,-3.019
-0.059,0.095,0.154,-0.018,-0.107,0.125,0.159,-0.209,0.049,0.064,0.311,-3.038
-0.057,0.098,0.154,-0.021,-0.106,0.126,0.156,-0.21,0.044,0.06,0.306,-3.067
-0.058,0.1,0.158,-0.022,-0.108,0.128,0.153,-0.21,0.041,0.058,0.299,-3.107
-0.033,0.1,0.132,-0.034,-0.083,0.116,0.15,-0.21,0.038,0.055,0.295,-3.142
-0.046,0.104,0.15,-0.029,-0.099,0.127,0.147,-0.21,0.033,0.051,0.302,-3.194
-0.058,0.105,0.163,-0.024,-0.111,0.134,0.145,-0.21,0.031,0.05,0.303,-3.242
-0.035,0.105,0.14,-0.035,-0.087,0.122,0.143,-0.209,0.027,0.047,0.293,-3.273
-0.026,0.11,0.136,-0.042,-0.081,0.122,0.14,-0.209,0.025,0.042,0.289,-3.297
-0.017,0.11,0.128,-0.047,-0.072,0.119,0.136,-0.206,0.025,0.036,0.279,-3.312
-0.015,0.11,0.125,-0.048,-0.07,0.117,0.135,-0.204,0.025,0.033,0.278,-3.325
-0.006,0.11,0.117,-0.052,-0.061,0.113,0.13,-0.205,0.025,0.027,0.289,-3.343
-0.004,0.109,0.114,-0.053,-0.059,0.111,0.131,-0.205,0.025,0.026,0.286,-3.374
0.007,0.113,0.106,-0.06,-0.049,0.109,0.134,-0.204,0.037,0.044,0.279,-3.483
0.011,0.118,0.107,-0.065,-0.048,0.112,0.136,-0.207,0.041,0.041,0.274,-3.607
-0.012,0.114,0.126,-0.051,-0.069,0.12,0.14,-0.209,0.037,0.034,0.269,-3.668
-0.014,0.115,0.129,-0.051,-0.072,0.122,0.14,-0.212,0.033,0.027,0.263,-3.712
-0.004,0.115,0.12,-0.056,-0.062,0.117,0.154,-0.21,0.032,0.021,0.261,-3.753
-0.002,0.114,0.116,-0.056,-0.06,0.115,0.16,-0.218,0.027,0.015,0.256,-3.787
0.006,0.117,0.112,-0.062,-0.053,0.114,0.161,-0.212,0.027,0.016,0.256,-3.814
0.016,0.117,0.1,-0.067,-0.042,0.108,0.158,-0.213,0.016,0.016,0.251,-3.847
0.01,0.124,0.115,-0.067,-0.053,0.119,0.161,-0.208,0.015,0.007,0.25,-3.88
0.008,0.114,0.106,-0.061,-0.049,0.11,0.159,-0.199,0.014,0.019,0.251,-3.92
-0.016,0.129,0.145,-0.057,-0.081,0.136,0.159,-0.189,0.06,0.05,0.261,-3.997
-0.009,0.142,0.151,-0.067,-0.08,0.146,0.176,-0.12,0.135,0.171,0.313,-4.054
0.002,0.156,0.154,-0.079,-0.076,0.155,0.082,-0.346,-0.134,-0.058,0.351,-4.047
0.082,0.16,0.079,-0.121,0.001,0.119,-0.09,-0.901,-0.801,-1.003,0.273,-3.987
0.178,0.2,0.022,-0.19,0.078,0.111,-0.276,-1.515,-1.461,-1.894,-0.043,-3.868
0.184,0.248,0.064,-0.216,0.059,0.156,-0.371,-1.847,-1.617,-1.901,-0.248,-3.794
0.338,0.022,-0.316,-0.18,0.327,-0.147,-0.376,-1.484,-1.271,-1.321,-0.181,-3.799
0.298,-0.107,-0.405,-0.095,0.352,-0.255,-0.242,-0.769,-0.675,-0.699,-0.103,-4.006
0.09,0.023,-0.067,-0.056,0.078,-0.022,0.044,-0.314,-0.158,-0.181,0.08,-4.307
0.082,0.091,0.008,-0.087,0.037,0.049,0.14,-0.195,-0.015,0.003,0.199,-4.401
0.092,0.103,0.012,-0.098,0.04,0.058,0.15,-0.157,0.021,0.013,0.187,-4.441
0.076,0.098,0.022,-0.087,0.027,0.06,0.179,-0.14,0.05,0.044,0.189,-4.475
0.054,0.101,0.046,-0.078,0.004,0.073,0.171,-0.138,0.053,0.042,0.179,-4.496
0.056,0.1,0.044,-0.078,0.006,0.072,0.178,-0.127,0.057,0.047,0.176,-4.532
0.064,0.099,0.035,-0.082,0.015,0.067,0.169,-0.124,0.056,0.044,0.17,-4.557
0.06,0.096,0.036,-0.078,0.011,0.066,0.171,-0.115,0.062,0.045,0.164,-4.582
0.068,0.094,0.027,-0.081,0.02,0.06,0.169,-0.112,0.059,0.046,0.159,-4.598
0.069,0.094,0.026,-0.082,0.021,0.06,0.165,-0.106,0.066,0.04,0.153,-4.62
0.07,0.089,0.019,-0.08,0.025,0.054,0.164,-0.101,0.065,0.033,0.148,-4.625
0.079,0.091,0.011,-0.085,0.034,0.051,0.16,-0.097,0.065,0.025,0.142,-4.627
0.072,0.088,0.016,-0.08,0.028,0.052,0.158,-0.092,0.065,0.018,0.137,-4.656
0.044,0.081,0.037,-0.063,0.003,0.059,0.155,-0.088,0.065,0.01,0.117,-4.68
0.036,0.077,0.04,-0.056,-0.002,0.058,0.155,-0.085,0.065,0.005,0.1,-4.716
0.027,0.07,0.043,-0.049,-0.008,0.056,0.17,-0.085,0.065,-0.002,0.09,-4.749
0.02,0.065,0.045,-0.043,-0.013,0.055,0.193,-0.082,0.066,-0.007,0.078,-4.745
0.02,0.06,0.04,-0.04,-0.01,0.05,0.205,-0.079,0.065,-0.012,0.066,-4.767
0.023,0.055,0.032,-0.039,-0.005,0.043,0.222,-0.08,0.076,-0.018,0.05,-4.764
0.027,0.055,0.029,-0.041,-0.002,0.042,0.232,-0.076,0.088,-0.023,0.034,-4.707
0.034,0.053,0.02,-0.044,0.007,0.036,0.236,-0.072,0.099,-0.029,0.029,-4.654
0.033,0.05,0.017,-0.042,0.008,0.033,0.246,-0.069,0.097,-0.03,0.03,-4.611
0.001,0.049,0.049,-0.025,-0.024,0.049,0.246,-0.066,0.088,-0.031,0.03,-4.574
-0.001,0.053,0.054,-0.026,-0.028,0.053,0.239,-0.061,0.083,-0.034,0.03,-4.52
0.014,0.056,0.042,-0.035,-0.015,0.049,0.221,-0.059,0.075,-0.036,0.03,-4.445
0.023,0.062,0.039,-0.043,-0.008,0.05,0.189,-0.074,0.072,-0.034,0.028,-4.374
0.044,0.074,0.03,-0.059,0.007,0.052,0.175,-0.113,0.046,-0.046,0.021,-4.31
0.053,0.076,0.023,-0.064,0.014,0.049,0.17,-0.137,0.011,-0.066,0.014,-4.257
0.059,0.074,0.016,-0.067,0.021,0.045,0.161,-0.144,-0.006,-0.075,0.008,-4.207
0.07,0.076,0.006,-0.073,0.031,0.04,0.154,-0.175,-0.021,-0.097,0.0,-4.157
0.073,0.074,0.001,-0.074,0.036,0.037,0.147,-0.188,-0.029,-0.107,-0.005,-4.108
0.087,0.077,-0.01,-0.081,0.048,0.033,0.141,-0.183,-0.044,-0.104,-0.013,-4.062
0.1,0.08,-0.02,-0.09,0.06,0.03,0.14,-0.197,-0.046,-0.105,-0.015,-4.012
0.099,0.08,-0.019,-0.089,0.059,0.03,0.14,-0.2,-0.05,-0.11,-0.028,-3.963
0.119,0.082,-0.037,-0.101,0.078,0.023,0.135,-0.2,-0.065,-0.119,-0.05,-3.923
0.134,0.085,-0.048,-0.109,0.091,0.018,0.135,-0.207,-0.057,-0.114,-0.051,-3.901
0.121,0.085,-0.036,-0.103,0.078,0.024,0.136,-0.212,-0.051,-0.109,-0.051,-3.891
0.12,0.082,-0.038,-0.1,0.079,0.022,0.14,-0.214,-0.045,-0.103,-0.066,-3.872
0.125,0.077,-0.048,-0.101,0.087,0.014,0.14,-0.211,-0.037,-0.097,-0.073,-3.861
0.099,0.074,-0.024,-0.086,0.061,0.025,0.139,-0.206,-0.033,-0.093,-0.08,-3.838
0.085,0.07,-0.014,-0.077,0.05,0.028,0.141,-0.203,-0.029,-0.086,-0.096,-3.862
0.091,0.066,-0.024,-0.078,0.057,0.021,0.138,-0.2,-0.027,-0.081,-0.103,-3.933
0.077,0.063,-0.013,-0.07,0.044,0.025,0.153,-0.195,-0.024,-0.076,-0.109,-3.952
0.065,0.06,-0.005,-0.062,0.035,0.027,0.167,-0.198,-0.021,-0.07,-0.115,-3.967
0.09,0.06,-0.029,-0.074,0.059,0.015,0.164,-0.2,-0.019,-0.066,-0.115,-3.969
0.118,0.06,-0.058,-0.089,0.088,0.001,0.165,-0.2,-0.016,-0.069,-0.114,-3.961
0.112,0.06,-0.052,-0.086,0.082,0.004,0.165,-0.2,-0.015,-0.07,-0.119,-3.947
0.107,0.06,-0.047,-0.083,0.077,0.006,0.165,-0.2,-0.014,-0.07,-0.13,-3.924
0.1,0.056,-0.044,-0.078,0.072,0.006,0.162,-0.2,-0.01,-0.07,-0.13,-3.874
0.093,0.055,-0.038,-0.073,0.065,0.008,0.159,-0.199,-0.01,-0.072,-0.13,-3.83
0.091,0.055,-0.035,-0.072,0.063,0.01,0.156,-0.221,-0.012,-0.076,-0.13,-3.761
0.084,0.055,-0.029,-0.069,0.056,0.013,0.153,-0.232,-0.016,-0.074,-0.13,-3.618
0.082,0.055,-0.027,-0.068,0.054,0.014,0.15,-0.229,-0.019,-0.079,-0.128,-3.423
0.074,0.055,-0.019,-0.064,0.046,0.018,0.151,-0.231,-0.023,-0.079,-0.124,-3.238
0.081,0.055,-0.026,-0.068,0.053,0.014,0.156,-0.23,-0.025,-0.081,-0.122,-3.112
0.1,0.055,-0.045,-0.077,0.072,0.005,0.159,-0.23,-0.025,-0.09,-0.119,-2.906
0.099,0.055,-0.044,-0.077,0.071,0.005,0.164,-0.225,-0.025,-0.09,-0.116,-2.82
0.094,0.055,-0.039,-0.074,0.066,0.007,0.165,-0.221,-0.025,-0.089,-0.114,-2.506
0.093,0.056,-0.037,-0.074,0.065,0.009,0.165,-0.218,-0.025,-0.085,-0.111,-2.257
0.083,0.051,-0.032,-0.066,0.058,0.009,0.17,-0.214,-0.025,-0.084,-0.11,-1.838
0.081,0.05,-0.031,-0.066,0.056,0.01,0.171,-0.21,-0.024,-0.083,-0.109,-1.331
0.073,0.044,-0.028,-0.059,0.05,0.008,0.168,-0.207,-0.025,-0.079,-0.104,0.103
0.081,0.046,-0.035,-0.064,0.057,0.005,0.165,-0.204,-0.025,-0.078,-0.106,3.995
0.119,0.072,-0.046,-0.095,0.082,0.013,0.162,-0.205,-0.025,-0.074,-0.099,5.689
0.116,0.073,-0.043,-0.094,0.08,0.015,0.16,-0.205,-0.025,-0.072,-0.077,5.078
0.105,0.065,-0.04,-0.085,0.072,0.012,0.156,-0.205,-0.025,-0.07,-0.062,5.108
0.102,0.063,-0.039,-0.082,0.07,0.012,0.155,-0.205,-0.026,-0.066,-0.056,4.8
0.09,0.057,-0.032,-0.073,0.061,0.012,0.151,-0.199,-0.024,-0.065,-0.046,4.646
0.093,0.053,-0.04,-0.073,0.066,0.006,0.15,-0.193,-0.026,-0.064,-0.039,4.481
0.088,0.051,-0.037,-0.07,0.063,0.007,0.15,-0.189,-0.024,-0.061,-0.032,4.339
0.092,0.049,-0.043,-0.07,0.067,0.003,0.145,-0.182,-0.026,-0.059,-0.026,4.246
0.09,0.049,-0.041,-0.069,0.065,0.004,0.144,-0.177,-0.023,-0.061,-0.02,4.1
0.091,0.043,-0.048,-0.066,0.069,-0.002,0.145,-0.183,-0.012,-0.052,-0.011,4.031
0.091,0.046,-0.044,-0.068,0.067,0.001,0.138,-0.205,-0.009,-0.057,-0.007,3.903
0.078,0.042,-0.036,-0.06,0.057,0.003,0.136,-0.188,0.007,-0.054,0.002,3.812
0.097,0.039,-0.058,-0.068,0.077,-0.009,0.138,-0.191,0.002,-0.039,0.015,3.69
0.09,0.081,-0.008,-0.085,0.049,0.036,0.171,-0.177,0.062,0.037,0.055,3.616
0.084,0.08,-0.003,-0.082,0.043,0.038,0.164,-0.172,0.05,0.111,0.1,3.562
0.117,0.09,-0.027,-0.103,0.072,0.031,0.037,-0.499,-0.388,-0.405,0.124,3.516
